gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2020,-2.9242768542049004e-15,0.0,0.0,-8.042301574397674e-15,-1.4470120053998598e-09,-2.683468144071707e-10,586.5924826305237,0.04147991474075169
Central_PV,Solar,2030,0.0,0.0,0.0,2.763559657320901e-16,-6.656641753852682e-11,-1.542308779083465e-11,0.0,0.0
Coal_IGCC,Coal,2020,1.8687594265702033e-15,-3.3376081936933623e-12,1.4191060083865977e-12,3.5109266196340997e-16,-2.732326108383574e-11,-2.9818538245678357e-12,-18.002704159648083,0.6071994458574695
Coal_IGCC,Coal,2030,-1.3625101047409778e-14,-8.287058959055575e-11,-1.0346683733786228e-11,-1.0707255251298992e-14,-2.549768761976732e-09,-2.5885433118079856e-10,212.21872697947504,0.14516439535581752
Coal_IGCC_CCS,Coal,2030,-5.082787019848458e-15,-5.01061144416661e-11,-7.559356697236346e-13,-7.16192792897569e-16,-3.3283206220687026e-10,-2.957303280432642e-11,81.1586905450139,0.8096000000000002
Coal_ST,Coal,2020,29.664062784000002,103824.219744,26209.97931343104,4.0,823680.3345779361,85560.0,34.151240903803505,0.846
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
Commercial_PV,Solar,2020,1.6511888110733795e-15,0.0,0.0,4.1664363694049e-15,1.465935501016304e-09,2.0923843447151407e-10,1014.5259731979692,0.04520970843289795
Commercial_PV,Solar,2030,1.2169457340572535e-14,0.0,0.0,4.1664363694049e-15,1.465935501016304e-09,2.0923843447151407e-10,137.65433207047508,0.33319999999999944
Geothermal,Geothermal,2020,33.962222434248005,1126000.5036962752,0.0,4.0,1826293.1651901624,0.0,86.92875369396619,0.96858075
Geothermal,Geothermal,2030,33.962315418,1126003.5865260807,0.0,4.0,1826293.1651901624,0.0,86.92884446628862,0.96858075
NG_CC,NaturalGas,2020,73.83870606283281,266098.0005495594,26269.397091467654,9.478242918274487,1064599.274342488,55059.878333848144,18.767354238936555,0.8887016065008474
NG_CC,NaturalGas,2030,66.05994200437648,191624.98265370989,23501.96720505358,8.016944335752799,779264.0388252018,39983.98755639852,15.302401818569267,0.94
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,NaturalGas,2020,11.071707499775243,301739.2518248494,6103.759271356577,6.0,375493.1329909859,29350.800000000003,63.81880887208942,0.21050532003462863
NG_GT,NaturalGas,2030,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0,4.92120135028882e-16,1.696532477926981e-10,4.6499447318609007e-11,0.0,0.0
Residential_PV,Solar,2020,1.943206624996267e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2020,-6.896572239773895e-15,0.0,0.0,4.48462138780663e-15,6.944866185895217e-10,2.5024187343961e-10,-136.9852238450713,-0.17543135936151913
Wind,Wind,2030,85.8270294,0.0,0.0,12.0,1644716.0822649356,591480.0,26.054754781631782,0.8159083333333333
